prob,err,trno,half,half_str,phase,phase_str,ta,sa,specID,id,contingency
NaN,NaN,-5,1,first,1,acq,39,NaN,f04_v2,f04,75/25
NaN,NaN,-4,1,first,1,acq,39,NaN,f04_v2,f04,75/25
NaN,NaN,-3,1,first,1,acq,39,NaN,f04_v2,f04,75/25
NaN,NaN,-2,1,first,1,acq,39,NaN,f04_v2,f04,75/25
NaN,NaN,-1,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.36,-0.64,1,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.47,-0.53,2,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.51,-0.49,3,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.54,-0.46,4,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.68,-0.32,5,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.73,-0.27,6,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.77,-0.23,7,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.75,-0.125,8,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.68,-0.0977777777777777,9,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.625,-0.175,10,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.81,-0.00818181818181818,11,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.84,0.0066666666666666,12,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.84,0.0707692307692307,13,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.88,0.0942857142857143,14,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.89,0.09,15,1,first,1,acq,39,NaN,f04_v2,f04,75/25
0.84,0.0707692307692307,-5,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.88,0.0942857142857143,-4,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.89,0.09,-3,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.9,0.15,-2,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.8,0.0352941176470589,-1,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.86,0.86,1,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.84,0.84,2,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.73,0.73,3,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.77,0.77,4,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.78,0.78,5,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.61,0.61,6,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.63,0.63,7,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.67,0.67,8,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.55,0.55,9,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.75,0.75,10,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.54,0.54,11,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.37,0.37,12,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.4,0.4,13,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.29,0.29,14,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.35,0.283333333333333,15,1,first,2,ext,39,NaN,f04_v2,f04,75/25
0.29,0.29,-5,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.35,0.283333333333333,-4,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.49,0.4275,-3,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.57,0.452352941176471,-2,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.53,0.363333333333333,-1,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.51,-0.267777777777778,1,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.53,-0.206842105263158,2,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.51,-0.24,3,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.54,-0.221904761904762,4,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.64,-0.132727272727273,5,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.7,-0.082608695652174,6,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.82,0.07,7,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.81,0.05,8,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.78,0.0107692307692308,9,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.81,0.0322222222222223,10,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.87,0.0842857142857143,11,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.9,0.106896551724138,12,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.91,0.143333333333333,13,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.91,0.168064516129032,14,2,second,1,acq,39,NaN,f04_v2,f04,75/25
NaN,NaN,15,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.87,0.0842857142857143,-5,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.9,0.106896551724138,-4,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.91,0.143333333333333,-3,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.91,0.168064516129032,-2,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.8,0.05,-1,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.88,0.722105263157895,1,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.86,0.71,2,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.85,0.707142857142857,3,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.74,0.558181818181818,4,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.82,0.646086956521739,5,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.81,0.643333333333333,6,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.72,0.56,7,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.75,0.557692307692308,8,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.82,0.634814814814815,9,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.83,0.651428571428571,10,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.82,0.613103448275862,11,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.89,0.69,12,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.79,0.596451612903226,13,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.71,0.5225,14,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.71,0.528181818181818,15,2,second,2,ext,39,NaN,f04_v2,f04,75/25
0.89,0.69,-5,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.79,0.596451612903226,-4,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.71,0.5225,-3,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.71,0.528181818181818,-2,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.34,0.163529411764706,-1,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.56,-0.197575757575758,1,2,second,1,acq,39,NaN,f04_v2,f04,75/25
0.59,-0.174705882352941,2,2,second,1,acq,39,NaN,f04_v2,f04,75/25
