"id","contingency","phase_str","condval"
"f04","75/25","acq",0.02467143326993
"f04","75/25","ext",-0.00856573650047887
"f12","75/25","acq",0.0163362016050345
"f12","75/25","ext",-0.00720425372490175
"f15","75/25","acq",0.0207893307656287
"f15","75/25","ext",-0.0181134124553376
"f20","75/25","acq",0.0529773351845551
"f20","75/25","ext",-0.000926000637978718
"f27","75/25","acq",0.0518587834019438
"f27","75/25","ext",-0.0444716257730893
"f31","75/25","acq",0.00994899892222572
"f31","75/25","ext",-0.0241326014161255
"f36","75/25","acq",0.0165579494546043
"f36","75/25","ext",-0.0376428754129434
"f38","75/25","acq",0.0179802496673746
"f38","75/25","ext",-0.00450118048139254
"f40","75/25","acq",0.055817299037158
"f40","75/25","ext",-0.0290944352591216
"f42","75/25","acq",0.0238448381704062
"f42","75/25","ext",0.0106955986758258
"m01","75/25","acq",0.0473445465417806
"m01","75/25","ext",-0.0216551358143595
"m08","75/25","acq",0.0273064839037672
"m08","75/25","ext",-0.0239724137584761
"m14","75/25","acq",-0.0184542755115495
"m14","75/25","ext",-0.0100816980870051
"m22","75/25","acq",0.0532618695900651
"m22","75/25","ext",-0.0621668690164163
"m26","75/25","acq",0.00605282767784394
"m26","75/25","ext",-0.00703064791438724
"m27","75/25","acq",0.054106068832374
"m27","75/25","ext",-0.0522153969150121
"m29","75/25","acq",0.00402384551149802
"m29","75/25","ext",-0.000781561673057804
"m34","75/25","acq",0.0441279361369111
"m34","75/25","ext",-0.0557728836316251
"m39","75/25","acq",0.0168535064166298
"m39","75/25","ext",0.0156880409503919
"m40","75/25","acq",0.0478492682114672
"m40","75/25","ext",-0.0471729775845281
"m41","75/25","acq",0.00853734549049645
"m41","75/25","ext",-0.00770150262401754
"m43","75/25","acq",0.0661069746514802
"m43","75/25","ext",-0.0310931503373314
"pl10","75/25","acq",0.035936683703766
"pl10","75/25","ext",-0.0249073204491882
"pl11","75/25","acq",-0.00928577406496556
"pl11","75/25","ext",-0.000510826211138879
"pl12","75/25","acq",0.02499144299767
"pl12","75/25","ext",-0.0184611439572746
"pl13","75/25","acq",0.031228003446088
"pl13","75/25","ext",-0.0280328627161075
"pl14","75/25","acq",0.0468711832887009
"pl14","75/25","ext",-0.0278396206694931
"pl15","75/25","acq",0.0432365035331836
"pl15","75/25","ext",-0.0489807632360129
"pl16","75/25","acq",0.0140528123452409
"pl16","75/25","ext",-0.0208854490183431
"pl17","75/25","acq",0.00809271129290986
"pl17","75/25","ext",-0.0442837916120233
"pl18","75/25","acq",0.0233849953418542
"pl18","75/25","ext",-0.022267614361551
"pl19","75/25","acq",0.0194764500422318
"pl19","75/25","ext",-0.0283329775088655
"pl2","75/25","acq",0.0300910698562391
"pl2","75/25","ext",-0.0342664800326975
"pl20","75/25","acq",-0.00986457329891209
"pl20","75/25","ext",-0.00919851981436552
"pl21","75/25","acq",0.0363496907670962
"pl21","75/25","ext",-0.0537019280561974
"pl22","75/25","acq",0.0182747170158488
"pl22","75/25","ext",-0.00362169538522278
"pl23","75/25","acq",0.0218888388023517
"pl23","75/25","ext",-0.0187304541577333
"pl24","75/25","acq",0.00115471911939224
"pl24","75/25","ext",-0.0158430702810036
"pl25","75/25","acq",0.0377839871531751
"pl25","75/25","ext",-0.0355429080744015
"pl26","75/25","acq",0.0042096342678503
"pl26","75/25","ext",-0.0143490907438981
"pl27","75/25","acq",0.00643091720385537
"pl27","75/25","ext",-0.00503155730980389
"pl28","75/25","acq",-0.00803522577525738
"pl28","75/25","ext",-0.0721321157345063
"pl29","75/25","acq",-0.00433608813589564
"pl29","75/25","ext",-0.0255727268619451
"pl3","75/25","acq",0.0298550840988287
"pl3","75/25","ext",-0.0394356797073533
"pl30","75/25","acq",0.0114728469924333
"pl30","75/25","ext",-0.061705778786761
"pl33","75/25","acq",0.0344737181341158
"pl33","75/25","ext",-0.0228478470174425
"pl34","75/25","acq",0.0339240311756419
"pl34","75/25","ext",-0.0185558302123827
"pl4","75/25","acq",0.0179793910202869
"pl4","75/25","ext",-0.0353329469502393
"pl5","75/25","acq",0.0180996846674425
"pl5","75/25","ext",-0.0710666710800145
"pl6","75/25","acq",0.0232265083516076
"pl6","75/25","ext",-0.0305657571678571
"pl7","75/25","acq",0.00181109684488089
"pl7","75/25","ext",-0.00158771828071301
