ta,specID,contingency,study,noswitches,ids,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff
71,pl2,75/25,1,NaN,pl2,0.503758161505953,0.553933277193797,0.443211932701524,0,-0.0501751156878439,0.0605462288044286,0.0501751156878439,0,0.110721344492273,-0.0605462288044286,-0.110721344492273,0
25,pl3,75/25,1,NaN,pl3,0.527864794865049,0.097721805378498,0.450949495722046,0,0.430142989486551,0.0769152991430033,-0.430142989486551,0,-0.353227690343548,-0.0769152991430033,0.353227690343548,0
47,pl4,75/25,1,NaN,pl4,0.53005252595863,0.540429435237381,0.488117607473942,0,-0.0103769092787516,0.0419349184846881,0.0103769092787516,0,0.0523118277634397,-0.0419349184846881,-0.0523118277634397,0
50,pl5,75/25,1,NaN,pl5,0.634168446822517,0.671619339351406,0.624763851523336,0,-0.0374508925288888,0.00940459529918047,0.0374508925288888,0,0.0468554878280693,-0.00940459529918047,-0.0468554878280693,0
35,pl6,75/25,1,NaN,pl6,0.515482682739385,-0.110757991606362,0.487019854441557,0,0.626240674345747,0.0284628282978286,-0.626240674345747,0,-0.597777846047919,-0.0284628282978286,0.597777846047919,0
37,pl7,75/25,1,NaN,pl7,0.351194030728786,-0.0278540824352311,0.075481242608846,0,0.379048113164017,0.27571278811994,-0.379048113164017,0,-0.103335325044077,-0.27571278811994,0.103335325044077,0
62,pl8,75/25,1,NaN,pl8,0.488646413250503,0.473484512130141,0.441082596130138,0,0.0151619011203614,0.0475638171203645,-0.0151619011203614,0,0.0324019160000031,-0.0475638171203645,-0.0324019160000031,0
31,pl10,75/25,1,NaN,pl10,0.327545601218031,0.362516329591402,0.348681153495957,0,-0.0349707283733714,-0.0211355522779261,0.0349707283733714,0,0.0138351760954453,0.0211355522779261,-0.0138351760954453,0
52,pl11,75/25,1,NaN,pl11,0.0608466262691555,-0.0140093606874001,0.124072922513243,0,0.0748559869565556,-0.0632262962440876,-0.0748559869565556,0,-0.138082283200643,0.0632262962440876,0.138082283200643,0
37,pl12,75/25,1,NaN,pl12,0.373675505838514,0.117727874420091,0.0875178439285821,0,0.255947631418423,0.286157661909931,-0.255947631418423,0,0.0302100304915087,-0.286157661909931,-0.0302100304915087,0
46,pl13,75/25,1,NaN,pl13,0.594969894550842,0.593343182604018,0.577847432768452,0,0.00162671194682384,0.0171224617823901,-0.00162671194682384,0,0.0154957498355662,-0.0171224617823901,-0.0154957498355662,0
26,pl14,75/25,1,NaN,pl14,0.433933103306907,0.358893517311779,0.368963556498817,0,0.0750395859951284,0.0649695468080904,-0.0750395859951284,0,-0.010070039187038,-0.0649695468080904,0.010070039187038,0
45,pl15,75/25,1,NaN,pl15,0.488749172728296,0.61166315329548,0.437036458359777,0,-0.122913980567184,0.0517127143685193,0.122913980567184,0,0.174626694935703,-0.0517127143685193,-0.174626694935703,0
45,pl16,75/25,1,NaN,pl16,0.328054879125678,0.32951095541949,0.361043248768638,0,-0.00145607629381211,-0.0329883696429595,0.00145607629381211,0,-0.0315322933491474,0.0329883696429595,0.0315322933491474,0
51,pl17,75/25,1,NaN,pl17,0.512207852310726,0.552804427451711,0.51344159093912,0,-0.040596575140985,-0.00123373862839393,0.040596575140985,0,0.0393628365125911,0.00123373862839393,-0.0393628365125911,0
31,pl18,75/25,1,NaN,pl18,0.419802771824368,0.377739200441172,0.431690114494214,0,0.0420635713831956,-0.0118873426698461,-0.0420635713831956,0,-0.0539509140530418,0.0118873426698461,0.0539509140530418,0
31,pl19,75/25,1,NaN,pl19,0.392988800895861,0.355996729738027,0.422989853007647,0,0.0369920711578335,-0.0300010521117862,-0.0369920711578335,0,-0.0669931232696197,0.0300010521117862,0.0669931232696197,0
31,pl20,75/25,1,NaN,pl20,0.463807407717698,0.474562362099557,0.447645772771278,0,-0.0107549543818596,0.0161616349464201,0.0107549543818596,0,0.0269165893282797,-0.0161616349464201,-0.0269165893282797,0
49,pl21,75/25,1,NaN,pl21,0.548730962660383,0.581521995981238,0.577109449564337,0,-0.032791033320855,-0.0283784869039545,0.032791033320855,0,0.00441254641690048,0.0283784869039545,-0.00441254641690048,0
44,pl22,75/25,1,NaN,pl22,0.459720160271311,0.374162267576116,0.479256815808703,0,0.085557892695195,-0.0195366555373915,-0.085557892695195,0,-0.105094548232587,0.0195366555373915,0.105094548232587,0
24,pl23,75/25,1,NaN,pl23,0.540769596912312,0.544029699983373,0.548318035220404,0,-0.0032601030710615,-0.00754843830809282,0.0032601030710615,0,-0.00428833523703132,0.00754843830809282,0.00428833523703132,0
44.5,pl24,75/25,1,NaN,pl24,0.385922899663465,0.367049057094005,0.448983566741567,0,0.0188738425694605,-0.0630606670781015,-0.0188738425694605,0,-0.081934509647562,0.0630606670781015,0.081934509647562,0
