ta,specID,contingency,study,noswitches,ids,order,order_exact,order_first,order_second,order_third,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff,MF_diff,MF_diff_w
71,pl2,75/25,1,3,pl2,1,,,,,-38.2484871069962,-36.2052927601458,-43.5486618385394,0,-2.04319434685046,5.30017473154313,2.04319434685046,0,7.34336907839359,-5.30017473154313,-7.34336907839359,0,1.62849019234633,5.11803886248113
25,pl3,75/25,1,0,pl3,1,,,,,-158.439478395822,-155.193922533251,-153.844548294781,0,-3.24555586257119,-4.5949301010406,3.24555586257119,0,-1.34937423846941,4.5949301010406,1.34937423846941,0,-3.9202429818059,-3.70089965196468
47,pl4,75/25,1,0,pl4,1,,,,,-68.757429759707,-141.153657439657,-64.1623099122609,0,72.3962276799499,-4.59511984744614,-72.3962276799499,0,-76.991347527396,4.59511984744614,76.991347527396,0,33.9005539162519,72.3962276799499
50,pl5,75/25,1,2,pl5,1,,,,,-100.497120780879,-95.9020429216969,-108.822878184592,0,-4.59507785918257,8.32575740371212,4.59507785918257,0,12.9208352628947,-8.32575740371212,-12.9208352628947,0,1.86533977226478,8.30557894021204
35,pl6,75/25,1,0,pl6,1,,,,,-175.344072301243,-194.786008760634,-170.748952493122,0,19.441936459391,-4.59511980812113,-19.441936459391,0,-24.0370562675122,4.59511980812113,24.0370562675122,0,7.42340832563497,19.4417914826905
37,pl7,75/25,1,0,pl7,1,,,,,-88.2193734516244,-103.321717691078,-83.5944010385159,0,15.1023442394536,-4.62497241310848,-15.1023442394536,0,-19.7273166525621,4.62497241310848,19.7273166525621,0,5.23868591317257,15.1013178479774
62,pl8,75/25,1,2,pl8,1,,,,,-88.711022716117,-88.8484905594721,-107.043644213033,0,0.137467843355097,18.3326214969156,-0.137467843355097,0,18.1951536535605,-18.3326214969156,-18.1951536535605,0,9.23504467013532,18.3305850190125
31,pl10,75/25,1,8,pl10,1,,,,,-35.2416590263351,-30.6366940145274,-60.8880663719725,0,-4.60496501180768,25.6464073456374,4.60496501180768,0,30.2513723574451,-25.6464073456374,-30.2513723574451,0,10.5207211669149,25.646399184646
52,pl11,75/25,1,0,pl11,1,,,,,-141.943590252867,-137.34847071737,-137.348470547248,0,-4.59511953549756,-4.59511970561906,4.59511953549756,0,-1.70121495557396e-07,4.59511970561906,1.70121495557396e-07,0,-4.59511962055831,-4.59511962055831
37,pl12,75/25,1,36,pl12,1,,,,,-48.8224339387291,-86.1200489587435,-115.935973638165,0,37.2976150200144,67.1135396994355,-37.2976150200144,0,29.815924679421,-67.1135396994355,-29.815924679421,0,52.2055773597249,67.1135296993812
46,pl13,75/25,1,1,pl13,1,,,,,-96.0338462145243,-91.4287480943322,-94.0951037992416,0,-4.60509812019207,-1.93874241528272,4.60509812019207,0,2.66635570490935,1.93874241528272,-2.66635570490935,0,-3.27192026773739,-2.49503539665076
26,pl14,75/25,1,7,pl14,1,,,,,-77.1864279531237,-106.491282574623,-92.3467903683168,0,29.3048546214997,15.1603624151931,-29.3048546214997,0,-14.1444922063065,-15.1603624151931,14.1444922063065,0,22.2326085183464,29.2928656580405
45,pl15,75/25,1,1,pl15,1,,,,,-31.9871886787923,-61.3846006417742,-53.4954220412478,0,29.3974119629819,21.5082333624555,-29.3974119629819,0,-7.88917860052634,-21.5082333624555,7.88917860052634,0,25.4528226627187,29.2475845815484
45,pl16,75/25,1,1,pl16,1,,,,,-6.35660636459575,-1.7514361858285,-6.01637439008572,0,-4.60517017876725,-0.340231974510033,4.60517017876725,0,4.26493820425722,0.340231974510033,-4.26493820425722,0,-2.47270107663864,-0.792233619660199
51,pl17,75/25,1,12,pl17,1,,,,,-80.0272780951086,-80.2018585552682,-86.8124854692397,0,0.174580460159632,6.78520737413113,-0.174580460159632,0,6.6106269139715,-6.78520737413113,-6.6106269139715,0,3.47989391714538,6.55126154754032
31,pl18,75/25,1,0,pl18,1,,,,,-129.01079194494,-130.68609962433,-124.41567209817,0,1.67530767939041,-4.59511984676959,-1.67530767939041,0,-6.27042752616001,4.59511984676959,6.27042752616001,0,-1.45990608368959,1.41396963652511
31,pl19,75/25,1,4,pl19,1,,,,,-65.9476859103463,-92.5602247310145,-93.0170658897726,0,26.6125388206682,27.0693799794263,-26.6125388206682,0,0.456841158758095,-27.0693799794263,-0.456841158758095,0,26.8409594000473,26.8669345388604
31,pl20,75/25,1,33,pl20,1,,,,,-53.9274376708145,-53.9595867124062,-54.5543888031645,0,0.0321490415916728,0.626951132349951,-0.0321490415916728,0,0.594802090758279,-0.626951132349951,-0.594802090758279,0,0.329550086970812,0.37345067948106
49,pl21,75/25,1,8,pl21,1,,,,,-117.152865653207,-126.543373756452,-135.068379936772,0,9.39050810324488,17.915514283565,-9.39050810324488,0,8.52500618032008,-17.915514283565,-8.52500618032008,0,13.6530111934049,17.7970907768257
44,pl22,75/25,1,0,pl22,1,,,,,-178.917549040694,-185.471522274958,-174.312290349007,0,6.55397323426385,-4.605258691687,-6.55397323426385,0,-11.1592319259508,4.605258691687,11.1592319259508,0,0.974357271288426,6.51201647545014
24,pl23,75/25,1,3,pl23,1,,,,,-142.429192014747,-133.029469780898,-142.439813829304,0,-9.39972223384879,0.0106218145574246,9.39972223384879,0,9.41034404840622,-0.0106218145574246,-9.41034404840622,0,-4.69455020964568,-0.0737628008658362
44.5,pl24,75/25,1,4,pl24,1,,,,,-71.2818154208927,-78.0571050666433,-82.445948096383,0,6.77528964575055,11.1641326754903,-6.77528964575055,0,4.38884302973972,-11.1641326754903,-4.38884302973972,0,8.96971116062041,10.7241399323261
30,pl25,75/25,1,0,pl25,1,,,,,-186.198260802914,-181.561468547083,-181.593090628291,0,-4.6367922558313,-4.60517017462288,4.6367922558313,0,0.0316220812084111,4.60517017462288,-0.0316220812084111,0,-4.62098121522709,-4.62085622332847
26,pl26,75/25,1,2,pl26,1,,,,,-69.9780593176962,-78.1812494855019,-79.0607804825829,0,8.20319016780573,9.08272116488669,-8.20319016780573,0,0.879530997080963,-9.08272116488669,-0.879530997080963,0,8.64295566634621,8.73812369279756
44,pl27,75/25,1,0,pl27,1,,,,,-217.272245777246,-232.211548526448,-212.710748034804,0,14.9393027492026,-4.56149774244125,-14.9393027492026,0,-19.5008004916439,4.56149774244125,19.5008004916439,0,5.18890250338069,14.938166477713
40,pl28,75/25,1,0,pl28,1,,,,,-127.789552296355,-123.194116119085,-123.194121227782,0,-4.59543617726914,-4.59543106857217,4.59543617726914,0,5.10869696768168e-06,4.59543106857217,-5.10869696768168e-06,0,-4.59543362292065,-4.59543362291738
46,pl29,75/25,1,1,pl29,1,,,,,-43.1761213656445,-51.6854543812048,-51.0466794117052,0,8.50933301556028,7.87055804606064,-8.50933301556028,0,-0.638774969499636,-7.87055804606064,0.638774969499636,0,8.18994553081046,8.24052052001067
30,pl30,75/25,1,4,pl30,1,,,,,-78.0887619833664,-85.3002930422885,-85.9548943399254,0,7.21153105892213,7.86613235655902,-7.21153105892213,0,0.654601297636887,-7.86613235655902,-0.654601297636887,0,7.53883170774057,7.59192146924525
22,pl33,75/25,1,3,pl33,1,,,,,-54.2159065685929,-94.484238888586,-108.48668243948,0,40.2683323199931,54.270775870887,-40.2683323199931,0,14.0024435508939,-54.270775870887,-14.0024435508939,0,47.2695540954401,54.2580344903939
57,pl34,75/25,1,5,pl34,1,,,,,-11.3384804809032,-7.61839816749376,-9.95025155833182,0,-3.72008231340948,-1.38822892257141,3.72008231340948,0,2.33185339083806,1.38822892257141,-2.33185339083806,0,-2.55415561799045,-1.94225873189232
