"","ids","mflr_diff_log","mflr_diff","best_model","study_str","m1m3_diff"
"1","f04",-0.140296341889437,-0.020505309451934,"1-state","s2",-5.23644196370986
"2","f12",0.164667976409927,0.0126505594902644,"1-state","s2",-5.24175525789849
"3","f15",0.15377111118981,0.030720920641025,"n-state","s2",4.61007609404248
"4","f20",-0.043215015260591,-0.014943363007826,"1-state","s2",-5.22035583023595
"5","f27",0.554782314231003,0.113918431090589,"n-state","s2",7.11795698274608
"6","f31",-0.225543726661019,-0.039032569657111,"n-state","s2",55.9743872563728
"7","f36",0.391146540394436,0.083955977812895,"1-state","s2",-5.23648085258006
"8","f38",-0.053689186947234,-0.020119548313404,"1-state","s2",-5.22066627409171
"9","f40",0.506055907643202,0.073764955363468,"n-state","s2",50.3934606909478
"10","f42",-0.153193203150092,-0.037098150431005,"1-state","s2",-5.23644191350142
"11","m01",0.112793741975489,0.040224167547325,"n-state","s2",8.62872492796275
"12","m08",-0.452677200414219,-0.077295658255625,"n-state","s2",17.0912599626975
"13","m14",0.383088925107582,0.102538385583576,"1-state","s2",-4.00876635049434
"14","m22",0.580702695976362,0.156024162767319,"n-state","s2",20.7145012573426
"15","m26",0.497957810760635,0.081125231453884,"1-state","s2",-38.0556643069676
"16","m27",0.652041981884948,0.111993363442427,"n-state","s2",42.4863454034863
"17","m29",0.480154923683673,0.064550282135888,"n-state","s2",28.3253692924445
"18","m34",0.61720890143185,0.120932248446799,"n-state","s2",16.1622198832705
"19","m39",0.614321885338816,0.166432061101261,"n-state","s2",10.3520850275989
"20","m40",0.542232943549937,0.163005429615887,"1-state","s2",-4.95161077810889
"21","m41",-0.0791844921947469,-0.01610834674285,"n-state","s2",15.5373534700559
"22","m43",0.0197037923682881,0.004670993099084,"1-state","s2",-5.22035497459888
"23","pl10",0.368774376694741,0.109804725495462,"n-state","s1",25.6464073456374
"24","pl11",-0.333879189362791,-0.091126891076676,"1-state","s1",-4.59511970561906
"25","pl12",1.01573755036952,0.279665170634834,"n-state","s1",67.1135396994355
"26","pl13",0.146133353220959,0.039267029599973,"1-state","s1",-1.93874241528272
"27","pl14",0.0185160388931775,0.00448575654067401,"n-state","s1",15.1603624151931
"28","pl15",0.550389334631831,0.106614140861248,"n-state","s1",21.5082333624555
"29","pl16",0.343875037325646,0.110706361796998,"1-state","s1",-0.340231974510033
