"","id","best_model","oddball_str","contingency","study_str","ta","log_mflr","mflr","N"
"1","f04","1-state","meaningful","75/25","study_2",39,0.172244193268538,0.172244193268538,"N5"
"2","f04","1-state","oddball","75/25","study_2",39,0.145789344139236,0.145789344139236,"N5"
"3","f12","1-state","meaningful","75/25","study_2",37,0.0804174429280095,0.0804174429280095,"N5"
"4","f12","1-state","oddball","75/25","study_2",37,0.0713616708789035,0.0713616708789035,"N5"
"5","f15","n-state","meaningful","75/25","study_2",25,0.252822019957998,0.252822019957998,"N5"
"6","f15","n-state","oddball","75/25","study_2",25,0.200226654457242,0.200226654457242,"N5"
"7","f20","1-state","meaningful","75/25","study_2",26,0.422426969138506,0.422426969138506,"N5"
"8","f20","1-state","oddball","75/25","study_2",26,0.365928816172213,0.365928816172213,"N5"
"9","f27","n-state","meaningful","75/25","study_2",43,0.305391949545573,0.305391949545573,"N5"
"10","f27","n-state","oddball","75/25","study_2",43,0.15870978848462,0.15870978848462,"N5"
"11","f31","n-state","meaningful","75/25","study_2",38,0.191746111882408,0.191746111882408,"N5"
"12","f31","n-state","oddball","75/25","study_2",38,0.219659374494566,0.219659374494566,"N5"
"13","f36","1-state","meaningful","75/25","study_2",41,0.318663613085262,0.318663613085262,"N5"
"14","f36","1-state","oddball","75/25","study_2",41,0.171451489117462,0.171451489117462,"N5"
"15","f38","1-state","meaningful","75/25","study_2",52,0.343469595065909,0.343469595065909,"N5"
"16","f38","1-state","oddball","75/25","study_2",52,0.340923807890056,0.340923807890056,"N5"
"17","f40","n-state","meaningful","75/25","study_2",30,0.228435949663521,0.228435949663521,"N5"
"18","f40","n-state","oddball","75/25","study_2",30,0.101082722734904,0.101082722734904,"N5"
"19","f42","1-state","meaningful","75/25","study_2",32,0.285209458306078,0.285209458306078,"N5"
"20","f42","1-state","oddball","75/25","study_2",32,0.265988786396844,0.265988786396844,"N5"
"21","m01","n-state","meaningful","75/25","study_2",34,0.379543594522996,0.379543594522996,"N5"
"22","m01","n-state","oddball","75/25","study_2",34,0.335438901921948,0.335438901921948,"N5"
"23","m08","n-state","meaningful","75/25","study_2",39,0.161546633245765,0.161546633245765,"N5"
"24","m08","n-state","oddball","75/25","study_2",39,0.195771455055083,0.195771455055083,"N5"
"25","m14","1-state","meaningful","75/25","study_2",40,0.385050756745478,0.385050756745478,"N5"
