specID,ta,contingency,phase_str,study_str,id,prob,err
f04_v2,39,75/25,acq,study_2,f04,0.855172413793103,0.0983256179314258
f04_v2,39,75/25,ext,study_2,f04,0.624230769230769,0.468954716341046
f12_v2,37,75/25,acq,study_2,f12,0.532625,-0.318133927592429
f12_v2,37,75/25,ext,study_2,f12,0.534807692307692,0.277097845081366
f15_v2,25,75/25,acq,study_2,f15,0.808548387096774,0.0319505059384631
f15_v2,25,75/25,ext,study_2,f15,0.5652,0.373631602356564
f20_v2,26,75/25,acq,study_2,f20,0.76375,-0.0649188686392143
f20_v2,26,75/25,ext,study_2,f20,0.196,0.00798401523442397
f27_v2,43,75/25,acq,study_2,f27,0.621891891891892,-0.173196792785302
f27_v2,43,75/25,ext,study_2,f27,0.171724137931034,-0.060822322998558
f31_v2,38,75/25,acq,study_2,f31,0.565125,-0.285633927592429
f31_v2,38,75/25,ext,study_2,f31,0.438846153846154,0.181136306619828
f36_v2,41,75/25,acq,study_2,f36,0.926774193548387,0.150176312390076
f36_v2,41,75/25,ext,study_2,f36,0.3668,0.175231602356563
f38_v2,52,75/25,acq,study_2,f38,0.87103448275862,0.0809713254392735
f38_v2,52,75/25,ext,study_2,f38,0.393913043478261,0.135020928760438
f40_v2,30,75/25,acq,study_2,f40,0.736463414634146,-0.0269460774542468
f40_v2,30,75/25,ext,study_2,f40,0.420454545454546,0.172683666857139
f42_v2,32,75/25,acq,study_2,f42,0.616034482758621,-0.140812313103057
f42_v2,32,75/25,ext,study_2,f42,0.333846153846154,0.178570100956431
m01_v2,34,75/25,acq,study_2,m01,0.757439024390244,-0.00597046769814922
m01_v2,34,75/25,ext,study_2,m01,0.492727272727273,0.244956394129866
m08_v2,39,75/25,acq,study_2,m08,0.579756097560976,-0.183653394527418
m08_v2,39,75/25,ext,study_2,m08,0.43969696969697,0.191926091099563
m14_v2,40,75/25,acq,study_2,m14,0.530322580645161,-0.24627530051315
m14_v2,40,75/25,ext,study_2,m14,0.5374,0.345831602356564
m22_v2,50,75/25,acq,study_2,m22,0.801081081081081,0.00599239640388683
m22_v2,50,75/25,ext,study_2,m22,0.367758620689655,0.135212159760063
m26_v2,45,75/25,acq,study_2,m26,0.964677419354839,0.188079538196528
m26_v2,45,75/25,ext,study_2,m26,0.858,0.666431602356564
m27_v2,30,75/25,acq,study_2,m27,0.65,-0.126597881158311
m27_v2,30,75/25,ext,study_2,m27,0.0944,-0.0971683976434364
m29_v2,42,75/25,acq,study_2,m29,0.917258064516129,0.140660183357818
m29_v2,42,75/25,ext,study_2,m29,0.8174,0.625831602356564
m34_v2,33,75/25,acq,study_2,m34,0.862317073170732,0.0989075810823386
m34_v2,33,75/25,ext,study_2,m34,0.323939393939394,0.0761685153419876
m39_v2,44,75/25,acq,study_2,m39,0.464268292682927,-0.299141199405466
m39_v2,44,75/25,ext,study_2,m39,0.382272727272727,0.134501848675321
m40_v2,33,75/25,acq,study_2,m40,0.881805555555556,0.0531366869163412
m40_v2,33,75/25,ext,study_2,m40,0.1456,-0.042415984765576
m41_v2,29,75/25,acq,study_2,m41,0.715344827586207,-0.0415019682754708
m41_v2,29,75/25,ext,study_2,m41,0.621153846153846,0.465877793264123
m43_v2,32,75/25,acq,study_2,m43,0.805172413793104,0.0151092564737563
m43_v2,32,75/25,ext,study_2,m43,0.350434782608696,0.0915426678908728
pl10,31,75/25,acq,study_1,pl10,0.683333333333333,-0.133838383838384
pl10,31,75/25,ext,study_1,pl10,0.614,0.437636363636364
pl11,52,75/25,acq,study_1,pl11,0.8,-0.0181818181818182
pl11,52,75/25,ext,study_1,pl11,0.682,0.508286910020925
pl12,37,75/25,acq,study_1,pl12,0.906,0.0616536540141333
pl12,37,75/25,ext,study_1,pl12,0.588,0.406989898989899
pl13,46,75/25,acq,study_1,pl13,0.845,0.0799144717175408
pl13,46,75/25,ext,study_1,pl13,0.415,0.226011904761905
pl14,26,75/25,acq,study_1,pl14,0.975,0.130653654014133
pl14,26,75/25,ext,study_1,pl14,0.622,0.440989898989899
pl15,45,75/25,acq,study_1,pl15,0.42,-0.398181818181818
pl15,45,75/25,ext,study_1,pl15,0.222,0.0482869100209254
pl16,45,75/25,acq,study_1,pl16,0.69,-0.0750855282824591
pl16,45,75/25,ext,study_1,pl16,0.39,0.201011904761905
pl17,51,75/25,acq,study_1,pl17,0.445,-0.279101479915433
pl17,51,75/25,ext,study_1,pl17,0.59,0.334949494949495
pl18,31,75/25,acq,study_1,pl18,0.64,-0.178181818181818
pl18,31,75/25,ext,study_1,pl18,0.492,0.318286910020925
pl19,31,75/25,acq,study_1,pl19,0.88,0.0618181818181818
pl19,31,75/25,ext,study_1,pl19,0.544,0.370286910020925
pl2,71,75/25,acq,study_1,pl2,0.787,-0.0109169614191654
pl2,71,75/25,ext,study_1,pl2,0.17,-0.014659090909091
pl20,31,75/25,acq,study_1,pl20,0.775,0.00991447171754086
pl20,31,75/25,ext,study_1,pl20,0.79,0.59952380952381
pl21,49,75/25,acq,study_1,pl21,0.6,-0.218181818181818
pl21,49,75/25,ext,study_1,pl21,0.342,0.168286910020925
pl22,44,75/25,acq,study_1,pl22,0.624,-0.141085528282459
pl22,44,75/25,ext,study_1,pl22,0.685,0.496011904761905
pl23,24,75/25,acq,study_1,pl23,0.702,-0.0630855282824591
pl23,24,75/25,ext,study_1,pl23,0.485,0.296011904761905
pl24,44.5,75/25,acq,study_1,pl24,0.68,-0.138181818181818
pl24,44.5,75/25,ext,study_1,pl24,0.504,0.330286910020925
pl25,30,75/25,acq,study_1,pl25,0.854,0.0889144717175408
pl25,30,75/25,ext,study_1,pl25,0.56,0.371011904761905
pl26,26,75/25,acq,study_1,pl26,0.753333333333333,-0.0206378952431586
pl26,26,75/25,ext,study_1,pl26,0.486666666666667,0.304848484848485
pl27,44,75/25,acq,study_1,pl27,0.592,-0.252346345985867
pl27,44,75/25,ext,study_1,pl27,0.522,0.340989898989899
pl28,40,75/25,acq,study_1,pl28,0.94,0.121818181818182
pl28,40,75/25,ext,study_1,pl28,0.286,0.112286910020925
pl29,46,75/25,acq,study_1,pl29,0.94,0.121818181818182
pl29,46,75/25,ext,study_1,pl29,0.324,0.150286910020925
pl3,25,75/25,acq,study_1,pl3,0.77,-0.0481818181818182
pl3,25,75/25,ext,study_1,pl3,0.51,0.336286910020925
pl30,30,75/25,acq,study_1,pl30,0.12,-0.698181818181818
pl30,30,75/25,ext,study_1,pl30,0.221,0.0472869100209254
pl33,22,75/25,acq,study_1,pl33,0.726666666666667,-0.0905050505050505
pl33,22,75/25,ext,study_1,pl33,0.638,0.461636363636364
pl34,57,75/25,acq,study_1,pl34,0.525,-0.199101479915433
pl34,57,75/25,ext,study_1,pl34,0.62,0.364949494949495
pl4,47,75/25,acq,study_1,pl4,0.76,-0.0581818181818182
pl4,47,75/25,ext,study_1,pl4,0.39,0.216286910020925
pl5,50,75/25,acq,study_1,pl5,0.68,-0.138181818181818
pl5,50,75/25,ext,study_1,pl5,0.19,0.0162869100209254
pl6,35,75/25,acq,study_1,pl6,0.76,-0.0581818181818182
pl6,35,75/25,ext,study_1,pl6,0.684,0.510286910020925
pl7,37,75/25,acq,study_1,pl7,0.79,-0.0543463459858668
pl7,37,75/25,ext,study_1,pl7,0.738,0.556989898989899
pl8,62,75/25,acq,study_1,pl8,0.855,0.130898520084566
pl8,62,75/25,ext,study_1,pl8,0.765,0.509949494949495
ss10_bl6040,56,60/40,acq,study_3,ss10,0.55,-0.100394509500731
ss10_bl6040,56,60/40,ext,study_3,ss10,0.25625,-0.185685195079545
ss10_bl7525,56,75/25,acq,study_3,ss10,0.38875,-0.353920970565708
ss10_bl7525,56,75/25,ext,study_3,ss10,0.181944444444444,-0.139834531599021
ss10_bl9010,56,90/10,acq,study_3,ss10,0.793541666666667,-0.0523161735364393
