specID,order_str,contingency,phase_str,id,prob
f04_v2,first,75/25,acq,f04,0.750507246376811
f04_v2,first,75/25,ext,f04,0.725606060606061
f12_v2,first,75/25,acq,f12,0.516888888888889
f12_v2,first,75/25,ext,f12,0.542954545454546
f15_v2,first,75/25,acq,f15,0.759014084507042
f15_v2,first,75/25,ext,f15,0.6
f20_v2,first,75/25,acq,f20,0.707906976744186
f20_v2,first,75/25,ext,f20,0.245769230769231
f27_v2,first,75/25,acq,f27,0.55867816091954
f27_v2,first,75/25,ext,f27,0.294202898550725
f31_v2,first,75/25,acq,f31,0.547333333333333
f31_v2,first,75/25,ext,f31,0.494848484848485
f36_v2,first,75/25,acq,f36,0.829225352112676
f36_v2,first,75/25,ext,f36,0.519
f38_v2,first,75/25,acq,f38,0.819275362318841
f38_v2,first,75/25,ext,f38,0.590555555555555
f40_v2,first,75/25,acq,f40,0.627307692307692
f40_v2,first,75/25,ext,f40,0.46355421686747
f42_v2,first,75/25,acq,f42,0.612463768115942
f42_v2,first,75/25,ext,f42,0.454166666666667
m01_v2,first,75/25,acq,m01,0.680989010989011
m01_v2,first,75/25,ext,m01,0.454156626506024
m08_v2,first,75/25,acq,m08,0.523351648351648
m08_v2,first,75/25,ext,m08,0.485542168674699
m14_v2,first,75/25,acq,m14,0.49
m14_v2,first,75/25,ext,m14,0.499307692307692
m22_v2,first,75/25,acq,m22,0.748850574712644
m22_v2,first,75/25,ext,m22,0.531811594202898
m26_v2,first,75/25,acq,m26,0.936901408450704
m26_v2,first,75/25,ext,m26,0.883384615384615
m27_v2,first,75/25,acq,m27,0.615352112676056
m27_v2,first,75/25,ext,m27,0.299
m29_v2,first,75/25,acq,m29,0.939788732394366
m29_v2,first,75/25,ext,m29,0.699230769230769
m34_v2,first,75/25,acq,m34,0.742692307692308
m34_v2,first,75/25,ext,m34,0.396807228915663
m39_v2,first,75/25,acq,m39,0.472417582417582
m39_v2,first,75/25,ext,m39,0.338975903614458
m40_v2,first,75/25,acq,m40,0.743139534883721
m40_v2,first,75/25,ext,m40,0.266692307692308
m41_v2,first,75/25,acq,m41,0.68463768115942
m41_v2,first,75/25,ext,m41,0.633712121212121
m43_v2,first,75/25,acq,m43,0.638043478260869
m43_v2,first,75/25,ext,m43,0.439126984126984
pl10,first,75/25,acq,pl10,0.645454545454546
pl10,first,75/25,ext,pl10,0.539555555555555
pl11,first,75/25,acq,pl11,0.779677419354839
pl11,first,75/25,ext,pl11,0.717555555555556
pl12,first,75/25,acq,pl12,0.787428571428572
pl12,first,75/25,ext,pl12,0.658
pl13,first,75/25,acq,pl13,0.760571428571429
pl13,first,75/25,ext,pl13,0.375
pl14,first,75/25,acq,pl14,0.737857142857143
pl14,first,75/25,ext,pl14,0.650555555555556
pl15,first,75/25,acq,pl15,0.490483870967742
pl15,first,75/25,ext,pl15,0.422444444444444
pl16,first,75/25,acq,pl16,0.623428571428571
pl16,first,75/25,ext,pl16,0.5284375
pl17,first,75/25,acq,pl17,0.576875
pl17,first,75/25,ext,pl17,0.577575757575758
pl18,first,75/25,acq,pl18,0.581612903225806
pl18,first,75/25,ext,pl18,0.616444444444445
pl19,first,75/25,acq,pl19,0.739677419354839
pl19,first,75/25,ext,pl19,0.609333333333333
pl2,first,75/25,acq,pl2,0.635285714285714
pl2,first,75/25,ext,pl2,0.4021875
pl20,first,75/25,acq,pl20,0.806142857142857
pl20,first,75/25,ext,pl20,0.464285714285714
pl21,first,75/25,acq,pl21,0.59741935483871
pl21,first,75/25,ext,pl21,0.553111111111111
pl22,first,75/25,acq,pl22,0.604285714285714
pl22,first,75/25,ext,pl22,0.6746875
pl23,first,75/25,acq,pl23,0.641428571428571
pl23,first,75/25,ext,pl23,0.489375
pl24,first,75/25,acq,pl24,0.665161290322581
pl24,first,75/25,ext,pl24,0.453777777777778
pl25,first,75/25,acq,pl25,0.719428571428571
pl25,first,75/25,ext,pl25,0.6215625
pl26,first,75/25,acq,pl26,0.678913043478261
pl26,first,75/25,ext,pl26,0.636060606060606
pl27,first,75/25,acq,pl27,0.567857142857143
pl27,first,75/25,ext,pl27,0.541666666666667
pl28,first,75/25,acq,pl28,0.879354838709678
pl28,first,75/25,ext,pl28,0.630333333333333
pl29,first,75/25,acq,pl29,0.722096774193548
pl29,first,75/25,ext,pl29,0.383111111111111
pl3,first,75/25,acq,pl3,0.756774193548387
pl3,first,75/25,ext,pl3,0.750777777777778
pl30,first,75/25,acq,pl30,0.727258064516129
pl30,first,75/25,ext,pl30,0.441444444444444
pl33,first,75/25,acq,pl33,0.632121212121212
pl33,first,75/25,ext,pl33,0.601333333333333
pl34,first,75/25,acq,pl34,0.72859375
pl34,first,75/25,ext,pl34,0.519242424242424
pl4,first,75/25,acq,pl4,0.661290322580645
pl4,first,75/25,ext,pl4,0.555333333333333
pl5,first,75/25,acq,pl5,0.718225806451613
pl5,first,75/25,ext,pl5,0.453
pl6,first,75/25,acq,pl6,0.757903225806452
pl6,first,75/25,ext,pl6,0.724888888888889
pl7,first,75/25,acq,pl7,0.723142857142857
pl7,first,75/25,ext,pl7,0.709888888888889
pl8,first,75/25,acq,pl8,0.7940625
pl8,first,75/25,ext,pl8,0.601666666666666
ss10_bl6040,third,60/40,acq,ss10,0.547636363636364
ss10_bl6040,third,60/40,ext,ss10,0.28359375
ss10_bl7525,second,75/25,acq,ss10,0.246666666666667
ss10_bl7525,second,75/25,ext,ss10,0.221145833333333
ss10_bl9010,first,90/10,acq,ss10,0.705925925925926
ss10_bl9010,first,90/10,ext,ss10,0.196818181818182
ss12_bl6040,first,60/40,acq,ss12,0.799910714285714
ss12_bl6040,first,60/40,ext,ss12,0.807333333333333
ss12_bl7525,second,75/25,acq,ss12,0.803846153846154
ss12_bl7525,second,75/25,ext,ss12,0.804351851851852
ss12_bl9010,third,90/10,acq,ss12,0.547272727272727
ss12_bl9010,third,90/10,ext,ss12,0.522333333333333
ss13_bl6040,third,60/40,acq,ss13,0.45122641509434
ss13_bl6040,third,60/40,ext,ss13,0.423421052631579
ss13_bl7525,first,75/25,acq,ss13,0.363469387755102
ss13_bl7525,first,75/25,ext,ss13,0.351935483870968
ss13_bl9010,second,90/10,acq,ss13,0.728166666666667
ss13_bl9010,second,90/10,ext,ss13,0.6871
ss14_bl6040,second,60/40,acq,ss14,0.371545454545455
ss14_bl6040,second,60/40,ext,ss14,0.335625
ss14_bl7525,first,75/25,acq,ss14,0.440625
ss14_bl7525,first,75/25,ext,ss14,0.243333333333334
ss14_bl9010,third,90/10,acq,ss14,0.191323529411765
ss14_bl9010,third,90/10,ext,ss14,0.156041666666667
ss15_bl6040,second,60/40,acq,ss15,0.602075471698113
ss15_bl6040,second,60/40,ext,ss15,0.408947368421053
