specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
f04_v2,39,1,1,75/25,study_2,f04,0.919196428571429,0.0906032416689854,hi-prob
f04_v2,39,1,2,75/25,study_2,f04,0.0611607142857143,-0.131417978200516,low-prob
f12_v2,37,1,1,75/25,study_2,f12,0.755545454545455,-0.157100516459956,hi-prob
f12_v2,37,1,2,75/25,study_2,f12,0.204818181818182,-0.0425818886276117,low-prob
f15_v2,25,1,1,75/25,study_2,f15,0.790948275862069,-0.025170425646045,hi-prob
f15_v2,25,1,2,75/25,study_2,f15,0.25698275862069,0.0319784888042873,low-prob
f20_v2,26,1,1,75/25,study_2,f20,0.576727272727273,-0.213813000349735,hi-prob
f20_v2,26,1,2,75/25,study_2,f20,0.354272727272727,-0.0102801919211194,low-prob
f27_v2,43,2,1,75/25,study_2,f27,0.460363636363636,-0.501673434727479,hi-prob
f27_v2,43,2,2,75/25,study_2,f27,0.405909090909091,0.094060478924743,low-prob
f31_v2,38,1,1,75/25,study_2,f31,0.819545454545455,-0.108375026263877,hi-prob
f31_v2,38,1,2,75/25,study_2,f31,0.183909090909091,-0.0349348298040823,low-prob
f36_v2,41,2,1,75/25,study_2,f36,0.60948275862069,-0.206635942887424,hi-prob
f36_v2,41,2,2,75/25,study_2,f36,0.193706896551724,-0.0312973732646782,low-prob
f38_v2,52,2,1,75/25,study_2,f38,0.475,-0.241033639770228,hi-prob
f38_v2,52,2,2,75/25,study_2,f38,0.457454545454545,0.154315257355432,low-prob
f40_v2,30,1,1,75/25,study_2,f40,0.905803571428571,0.098786462467651,hi-prob
f40_v2,30,1,2,75/25,study_2,f40,0.2475,0.0949556463084932,low-prob
f42_v2,32,1,1,75/25,study_2,f42,0.795714285714286,-0.0190967583310146,hi-prob
f42_v2,32,1,2,75/25,study_2,f42,0.180714285714286,-0.0115179782005161,low-prob
m01_v2,34,1,1,75/25,study_2,m01,0.452767857142857,-0.369213537532349,hi-prob
m01_v2,34,1,2,75/25,study_2,m01,0.302321428571429,0.173155646308493,low-prob
m08_v2,39,1,1,75/25,study_2,m08,0.804642857142857,0.0291864624676511,hi-prob
m08_v2,39,1,2,75/25,study_2,m08,0.228125,0.105255646308493,low-prob
m14_v2,40,2,1,75/25,study_2,m14,0.502844827586207,-0.313273873921907,hi-prob
m14_v2,40,2,2,75/25,study_2,m14,0.572844827586207,0.347840557769805,low-prob
m22_v2,50,2,1,75/25,study_2,m22,0.853272727272727,-0.0865734347274797,hi-prob
m22_v2,50,2,2,75/25,study_2,m22,0.281363636363636,-0.0479003053889825,low-prob
m26_v2,45,2,1,75/25,study_2,m26,0.964224137931034,0.148105436422921,hi-prob
