specID,startprob,contingency,study_str,phase_str,id,prob
f04_v2,low,75/25,study_2,acq,f04,0.763653846153846
f04_v2,low,75/25,study_2,ext,f04,0.774166666666667
f12_v2,low,75/25,study_2,acq,f12,0.527746478873239
f12_v2,low,75/25,study_2,ext,f12,0.5159
f15_v2,high,75/25,study_2,acq,f15,0.757321428571428
f15_v2,high,75/25,study_2,ext,f15,0.6118
f20_v2,low,75/25,study_2,acq,f20,0.711470588235294
f20_v2,low,75/25,study_2,ext,f20,0.2578
f27_v2,low,75/25,study_2,acq,f27,0.565785714285714
f27_v2,low,75/25,study_2,ext,f27,0.284150943396226
f31_v2,low,75/25,study_2,acq,f31,0.571901408450705
f31_v2,low,75/25,study_2,ext,f31,0.507
f36_v2,high,75/25,study_2,acq,f36,0.84625
f36_v2,high,75/25,study_2,ext,f36,0.4672
f38_v2,low,75/25,study_2,acq,f38,0.80433962264151
f38_v2,low,75/25,study_2,ext,f38,0.573510638297872
f40_v2,low,75/25,study_2,acq,f40,0.619736842105263
f40_v2,low,75/25,study_2,ext,f40,0.441
f42_v2,low,75/25,study_2,acq,f42,0.611442307692308
f42_v2,low,75/25,study_2,ext,f42,0.497291666666667
m01_v2,low,75/25,study_2,acq,m01,0.704934210526316
m01_v2,low,75/25,study_2,ext,m01,0.452461538461538
m08_v2,low,75/25,study_2,acq,m08,0.543815789473684
m08_v2,low,75/25,study_2,ext,m08,0.494153846153846
m14_v2,high,75/25,study_2,acq,m14,0.497321428571429
m14_v2,high,75/25,study_2,ext,m14,0.5406
m22_v2,low,75/25,study_2,acq,m22,0.761
m22_v2,low,75/25,study_2,ext,m22,0.581132075471698
m26_v2,high,75/25,study_2,acq,m26,0.929553571428571
m26_v2,high,75/25,study_2,ext,m26,0.8717
m27_v2,high,75/25,study_2,acq,m27,0.564375
m27_v2,high,75/25,study_2,ext,m27,0.2782
m29_v2,high,75/25,study_2,acq,m29,0.925089285714285
m29_v2,high,75/25,study_2,ext,m29,0.7203
m34_v2,low,75/25,study_2,acq,m34,0.790394736842105
m34_v2,low,75/25,study_2,ext,m34,0.320384615384615
m39_v2,low,75/25,study_2,acq,m39,0.497368421052631
m39_v2,low,75/25,study_2,ext,m39,0.309846153846154
m40_v2,low,75/25,study_2,acq,m40,0.755955882352941
m40_v2,low,75/25,study_2,ext,m40,0.3188
m41_v2,low,75/25,study_2,acq,m41,0.694903846153846
m41_v2,low,75/25,study_2,ext,m41,0.628333333333333
m43_v2,low,75/25,study_2,acq,m43,0.659245283018868
m43_v2,low,75/25,study_2,ext,m43,0.442659574468085
pl10,high,75/25,study_1,acq,pl10,0.675909090909091
pl10,high,75/25,study_1,ext,pl10,0.580294117647059
pl11,high,75/25,study_1,acq,pl11,0.7765
pl11,high,75/25,study_1,ext,pl11,0.733823529411765
pl12,high,75/25,study_1,acq,pl12,0.737608695652174
pl12,high,75/25,study_1,ext,pl12,0.653823529411765
pl13,low,75/25,study_1,acq,pl13,0.759130434782609
pl13,low,75/25,study_1,ext,pl13,0.375
pl14,high,75/25,study_1,acq,pl14,0.736739130434783
pl14,high,75/25,study_1,ext,pl14,0.652794117647059
pl15,high,75/25,study_1,acq,pl15,0.58425
pl15,high,75/25,study_1,ext,pl15,0.485147058823529
pl16,low,75/25,study_1,acq,pl16,0.574347826086957
pl16,low,75/25,study_1,ext,pl16,0.5284375
pl17,low,75/25,study_1,acq,pl17,0.489047619047619
pl17,low,75/25,study_1,ext,pl17,0.577575757575758
pl18,high,75/25,study_1,acq,pl18,0.56725
pl18,high,75/25,study_1,ext,pl18,0.634705882352941
pl19,high,75/25,study_1,acq,pl19,0.7495
pl19,high,75/25,study_1,ext,pl19,0.683235294117647
pl2,high,75/25,study_1,acq,pl2,0.635285714285714
pl2,high,75/25,study_1,ext,pl2,0.478571428571429
pl20,low,75/25,study_1,acq,pl20,0.837173913043478
pl20,low,75/25,study_1,ext,pl20,0.464285714285714
pl21,high,75/25,study_1,acq,pl21,0.615
pl21,high,75/25,study_1,ext,pl21,0.575882352941176
pl22,low,75/25,study_1,acq,pl22,0.696086956521739
pl22,low,75/25,study_1,ext,pl22,0.6746875
pl23,low,75/25,study_1,acq,pl23,0.682173913043478
pl23,low,75/25,study_1,ext,pl23,0.489375
pl24,high,75/25,study_1,acq,pl24,0.681
pl24,high,75/25,study_1,ext,pl24,0.433529411764706
pl25,low,75/25,study_1,acq,pl25,0.734347826086957
pl25,low,75/25,study_1,ext,pl25,0.6215625
pl26,low,75/25,study_1,acq,pl26,0.701571428571428
pl26,low,75/25,study_1,ext,pl26,0.636060606060606
pl27,high,75/25,study_1,acq,pl27,0.580434782608696
pl27,high,75/25,study_1,ext,pl27,0.547205882352941
pl28,high,75/25,study_1,acq,pl28,0.8975
pl28,high,75/25,study_1,ext,pl28,0.679705882352941
pl29,high,75/25,study_1,acq,pl29,0.731
pl29,high,75/25,study_1,ext,pl29,0.421323529411765
pl3,high,75/25,study_1,acq,pl3,0.758
pl3,high,75/25,study_1,ext,pl3,0.816029411764706
pl30,high,75/25,study_1,acq,pl30,0.82175
pl30,high,75/25,study_1,ext,pl30,0.52
pl33,high,75/25,study_1,acq,pl33,0.566818181818182
pl33,high,75/25,study_1,ext,pl33,0.642941176470588
pl34,low,75/25,study_1,acq,pl34,0.700238095238095
pl34,low,75/25,study_1,ext,pl34,0.519242424242424
pl4,high,75/25,study_1,acq,pl4,0.6195
pl4,high,75/25,study_1,ext,pl4,0.528823529411765
